"id","name","party","type","r_2008","r_2010","r_2012","r_2014","r_2016","r_total"
"N00027658","Gillibrand, Kirsten (D-NY)","d","Senate","0","5750","12500","0","0","18250"
"N00005329","Nelson, Ben (D-NE)","d","Senate","0","5400","0","0","0","5400"
"N00032838","Manchin, Joe (D-WV)","d","Senate","0","5000","0","0","0","5000"
"N00001489","Toomey, Pat (R-PA)","r","Senate","0","5000","48750","12750","22700","89200"
"N00006347","Bennett, Robert F (R-UT)","r","Senate","0","4800","0","0","0","4800"
"N00030829","Buck, Kenneth R (R-CO)","r","Senate","0","3000","0","0","0","3000"
"N00030608","Bennet, Michael F (D-CO)","d","Senate","0","2500","0","0","0","2500"
"N00031174","Brown, Scott (R-MA)","r","Senate","0","2500","10250","0","0","12750"
"N00005282","Moran, Jerry (R-KS)","r","Senate","0","2500","10000","5000","1000","18500"
"N00030612","Rubio, Marco (R-FL)","r","Senate","0","2500","11500","1000","15850","30850"
"N00029444","Johanns, Mike (R-NE)","r","Senate","0","2200","5000","0","0","7200"
"N00030980","Ayotte, Kelly (R-NH)","r","Senate","0","2000","4500","1000","5000","12500"
"N00003845","Coats, Dan (R-IN)","r","Senate","0","2000","0","1500","0","3500"
"N00009869","Hatch, Orrin G (R-UT)","r","Senate","0","2000","2500","0","0","4500"
"N00032555","Miller, Joe (R-AK)","r","Senate","0","2000","0","0","0","2000"
"N00025299","Bridgewater, Tim (R-UT)","r","Senate","0","1500","0","0","0","1500"
"N00030602","Williams, Roger (R-TX)","r","Senate","0","1500","7500","0","1500","10500"
"N00002221","Burr, Richard (R-NC)","r","Senate","0","1000","0","1000","2500","4500"
"N00027616","Carnahan, Robin (D-MO)","d","Senate","0","1000","0","0","0","1000"
"N00009775","Castle, Michael N (R-DE)","r","Senate","0","1000","0","0","0","1000"
"N00005601","Coburn, Tom (R-OK)","r","Senate","0","1000","0","0","0","1000"
"N00004615","Dorgan, Byron L (D-ND)","d","Senate","0","1000","0","0","0","1000"
"N00028769","O'Donnell, Christine (R-DE)","r","Senate","0","1000","0","0","0","1000"
"N00003682","Portman, Rob (R-OH)","r","Senate","0","1000","0","0","3700","4700"
"N00024790","Shaheen, Jeanne (D-NH)","d","Senate","0","1000","0","8150","0","9150"
"N00008051","Udall, Mark (D-CO)","d","Senate","0","1000","0","7000","0","8000"
"N00027581","Angle, Sharron (R-NV)","r","Senate","0","250","0","0","0","250"
"N00034342","Rogers, Hayden (D-NC)","d","House","0","0","23500","0","0","23500"
"N00033106","Wagner, Ann L (R-MO)","r","House","0","0","23500","17500","1000","42000"
"N00031589","Paton, Jonathan (R-AZ)","r","House","0","0","15000","0","0","15000"
"N00026722","Canseco, Francisco (R-TX)","r","House","0","0","14750","1000","0","15750"
"N00030957","Desjarlais, Scott (R-TN)","r","House","0","0","12000","10100","7900","30000"
"N00026163","Westmoreland, Lynn A (R-GA)","r","House","0","0","11500","0","2750","14250"
"N00031401","Grimm, Michael (R-NY)","r","House","0","0","9500","5800","0","15300"
"N00033404","Oceguera, John (D-NV)","d","House","0","0","9100","0","0","9100"
"N00030673","Huizenga, Bill (R-MI)","r","House","0","0","8000","1000","0","9000"
"N00024978","Cuellar, Henry (D-TX)","d","House","0","0","7500","2000","2500","12000"
"N00030949","Reed, Tom (R-NY)","r","House","0","0","7000","0","0","7000"
"N00033638","Horsford, Steven (D-NV)","d","House","0","0","6000","6800","0","12800"
"N00026322","Strickland, Tony (R-CA)","r","House","0","0","6000","0","0","6000"
"N00031124","Hayworth, Nan (R-NY)","r","House","0","0","5500","0","0","5500"
"N00033518","Collins, Doug (R-GA)","r","House","0","0","5000","0","0","5000"
"N00030967","Duffy, Sean P (R-WI)","r","House","0","0","5000","12000","26900","43900"
"N00002893","Frankel, Lois J (D-FL)","d","House","0","0","5000","5000","0","10000"
"N00025237","King, Steven A (R-IA)","r","House","0","0","5000","0","0","5000"
"N00033842","Love, Mia (R-UT)","r","House","0","0","5000","4600","6500","16100"
"N00032022","Noem, Kristi (R-SD)","r","House","0","0","5000","0","0","5000"
